match_id,fifa_match_number,date,stage,group,status,team_a,team_b,score_a,score_b,penalty_a,penalty_b,decided_by,kickoff_time_et,venue,collected_at_utc,source_url,raw_line
G001,,2026-06-11,group_stage,A,completed,Mexico,South Africa,2,0,,,regular,,Mexico City Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Mexico 2-0 South Africa - Group A – Mexico City Stadium
G002,,2026-06-11,group_stage,A,completed,Korea Republic,Czechia,2,1,,,regular,,Guadalajara Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Korea Republic 2-1 Czechia – Group A - Guadalajara Stadium
G003,,2026-06-12,group_stage,B,completed,Canada,Bosnia and Herzegovina,1,1,,,regular,,Toronto Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Canada 1-1 Bosnia and Herzegovina - Group B – Toronto Stadium
G004,,2026-06-12,group_stage,D,completed,USA,Paraguay,4,1,,,regular,,Los Angeles Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,USA 4-1 Paraguay - Group D – Los Angeles Stadium
G005,,2026-06-13,group_stage,C,completed,Haiti,Scotland,0,1,,,regular,,Boston Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Haiti 0-1 Scotland – Group C - Boston Stadium
G006,,2026-06-13,group_stage,D,completed,Australia,Türkiye,2,0,,,regular,,BC Place Vancouver,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Australia 2-0 Türkiye – Group D - BC Place Vancouver
G007,,2026-06-13,group_stage,C,completed,Brazil,Morocco,1,1,,,regular,,New York New Jersey Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Brazil 1-1 Morocco – Group C - New York New Jersey Stadium
G008,,2026-06-13,group_stage,B,completed,Qatar,Switzerland,1,1,,,regular,,San Francisco Bay Area Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Qatar 1-1 Switzerland – Group B - San Francisco Bay Area Stadium
G009,,2026-06-14,group_stage,E,completed,Côte d'Ivoire,Ecuador,1,0,,,regular,,Philadelphia Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Côte d'Ivoire 1-0 Ecuador – Group E - Philadelphia Stadium
G010,,2026-06-14,group_stage,E,completed,Germany,Curaçao,7,1,,,regular,,Houston Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Germany 7-1 Curaçao – Group E - Houston Stadium
G011,,2026-06-14,group_stage,F,completed,Netherlands,Japan,2,2,,,regular,,Dallas Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Netherlands 2-2 Japan – Group F - Dallas Stadium
G012,,2026-06-14,group_stage,F,completed,Sweden,Tunisia,5,1,,,regular,,Estadio Monterrey,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Sweden 5-1 Tunisia – Group F - Estadio Monterrey
G013,,2026-06-15,group_stage,H,completed,Saudi Arabia,Uruguay,1,1,,,regular,,Miami Stadium,2026-07-08T05:15:32.653825+00:00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,Saudi Arabia 1-1 Uruguay – Group H - Miami Stadium
