rank,team,points,official_update,collected_at_utc,source_url,raw_row
1,France,1925.86,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,1 2 France France Morocco 10 Jul 04:00 1925.86
2,Argentina,1925.15,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,2 1 Argentina Argentina Egypt FT 3 2 +11.44 1925.15
3,Spain,1912.34,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,3 1 Spain Portugal Spain FT 0 1 +20.06 1912.34
4,England,1871.39,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,4 England Mexico England FT 2 3 +20.42 1871.39
5,Brazil,1804.92,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,5 1 Brazil Brazil Norway FT 1 2 0.00 1804.92
6,Morocco,1803.99,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,6 1 Morocco France Morocco 10 Jul 04:00 1803.99
7,Portugal,1787.85,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,7 2 Portugal Portugal Spain FT 0 1 0.00 1787.85
8,Belgium,1778.36,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,8 1 Belgium USA Belgium FT 1 4 +21.84 1778.36
9,Netherlands,1775.54,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,9 1 Netherlands Netherlands Morocco FT (2) 1 (3) 1 +0.04 1775.54
10,Mexico,1754.3,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,10 4 Mexico Mexico England FT 2 3 0.00 1754.30
11,Colombia,1739.89,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,11 2 Colombia Switzerland Colombia FT (4) 0 (3) 0 0.00 1739.89
12,Germany,1726.22,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,12 2 Germany Germany Paraguay FT (3) 1 (4) 1 0.00 1726.22
13,Croatia,1723.05,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,13 2 Croatia Portugal Croatia FT 2 1 0.00 1723.05
14,Switzerland,1710.88,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,14 5 Switzerland Switzerland Colombia FT (4) 0 (3) 0 +14.59 1710.88
15,Italy,1704.73,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,15 3 Italy 1704.73
16,USA,1690.33,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,16 1 USA USA Belgium FT 1 4 0.00 1690.33
17,Japan,1673.68,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,17 1 Japan Brazil Japan FT 2 1 0.00 1673.68
18,Senegal,1653.43,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,18 3 Senegal Belgium Senegal FT 3 2 0.00 1653.43
19,Norway,1651.29,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,19 12 Norway Brazil Norway FT 1 2 +33.61 1651.29
20,Uruguay,1634.7,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,20 4 Uruguay Uruguay Spain FT 0 1 -15.26 1634.70
21,Denmark,1619.47,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,21 Denmark 1619.47
22,IR Iran,1609.85,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,22 2 IR Iran Egypt IR Iran FT 1 1 -1.33 1609.85
23,Austria,1598.82,11 June 2026,2026-07-08T05:15:44.423480+00:00,https://inside.fifa.com/en/fifa-world-ranking/men,23 1 Austria Spain Austria FT 3 0 0.00 1598.82
