year,date,host_country,city,stage,home_team,away_team,home_team_raw,away_team_raw,home_score,away_score,score_result,match_result,decision_method,winner,loser,win_conditions_raw,outcome_raw,source_row_number
1930,1930-07-13,Uruguay,Montevideo,Group 1,France,Mexico,France,Mexico,4,1,H,H,regular,France,Mexico,,H,2
1930,1930-07-13,Uruguay,Montevideo,Group 4,Belgium,USA,Belgium,United States,0,3,A,A,regular,USA,Belgium,,A,3
1930,1930-07-14,Uruguay,Montevideo,Group 2,Brazil,Yugoslavia,Brazil,Yugoslavia,1,2,A,A,regular,Yugoslavia,Brazil,,A,4
1930,1930-07-14,Uruguay,Montevideo,Group 3,Peru,Romania,Peru,Romania,1,3,A,A,regular,Romania,Peru,,A,5
1930,1930-07-15,Uruguay,Montevideo,Group 1,Argentina,France,Argentina,France,1,0,H,H,regular,Argentina,France,,H,6
1930,1930-07-16,Uruguay,Montevideo,Group 1,Chile,Mexico,Chile,Mexico,3,0,H,H,regular,Chile,Mexico,,H,7
1930,1930-07-17,Uruguay,Montevideo,Group 2,Bolivia,Yugoslavia,Bolivia,Yugoslavia,0,4,A,A,regular,Yugoslavia,Bolivia,,A,8
1930,1930-07-17,Uruguay,Montevideo,Group 4,Paraguay,USA,Paraguay,United States,0,3,A,A,regular,USA,Paraguay,,A,9
1930,1930-07-18,Uruguay,Montevideo,Group 3,Uruguay,Peru,Uruguay,Peru,1,0,H,H,regular,Uruguay,Peru,,H,10
1930,1930-07-19,Uruguay,Montevideo,Group 1,Argentina,Mexico,Argentina,Mexico,6,3,H,H,regular,Argentina,Mexico,,H,11
1930,1930-07-19,Uruguay,Montevideo,Group 1,Chile,France,Chile,France,1,0,H,H,regular,Chile,France,,H,12
1930,1930-07-20,Uruguay,Montevideo,Group 4,Belgium,Paraguay,Belgium,Paraguay,0,1,A,A,regular,Paraguay,Belgium,,A,13
1930,1930-07-20,Uruguay,Montevideo,Group 2,Bolivia,Brazil,Bolivia,Brazil,0,4,A,A,regular,Brazil,Bolivia,,A,14
1930,1930-07-21,Uruguay,Montevideo,Group 3,Uruguay,Romania,Uruguay,Romania,4,0,H,H,regular,Uruguay,Romania,,H,15
1930,1930-07-22,Uruguay,Montevideo,Group 1,Argentina,Chile,Argentina,Chile,3,1,H,H,regular,Argentina,Chile,,H,16
1930,1930-07-26,Uruguay,Montevideo,Semifinals,Argentina,USA,Argentina,United States,6,1,H,H,regular,Argentina,USA,,H,17
1930,1930-07-27,Uruguay,Montevideo,Semifinals,Uruguay,Yugoslavia,Uruguay,Yugoslavia,6,1,H,H,regular,Uruguay,Yugoslavia,,H,18
1930,1930-07-30,Uruguay,Montevideo,Final,Uruguay,Argentina,Uruguay,Argentina,4,2,H,H,regular,Uruguay,Argentina,,H,19
1934,1934-05-27,Italy,Bologna,Round of 16,Argentina,Sweden,Argentina,Sweden,2,3,A,A,regular,Sweden,Argentina,,A,20
1934,1934-05-27,Italy,Turin,Round of 16,Austria,France,Austria,France,3,2,H,H,extra_time,Austria,France,Austria won in AET,H,21
